Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,7,428.571,0.798,1.164,13877,5538,7995,4969,5588,5759,25622.24,4609.27,184.64,83.24,3436.67,2418.12,42.99,48.67
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,BL1-H,YL1-H,257751,7,36821.571,68.602,68.602,5430,242,3713,110,4826,96,11591.42,909.51,213.46,376.44,2969.65,57.82,79.98,52.56
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R3,FSC-H,SSC-H,220052,7,31436,58.568,96.88,10347,795,5162,492,4633,399,18235.77,1334.58,176.25,167.83,3696.12,329.14,71.6,66.9
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R7,FSC-H,SSC-H,227139,7,32448.429,60.455,60.455,10054,784,4997,481,4633,399,18036.94,1341.71,179.41,171.2,3687.23,323.21,73.79,67.19
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R5,BL1-H,YL1-H,339,7,48.429,0.09,0.132,27685,5881,20540,4955,16345,4225,27100.76,3208.67,97.89,54.56,6097.93,2180.9,29.69,44.01
NA,Expt 2,Group,Sample 1.fcs,Sample 1,Experiment,None,,R1,BL1-H,YL1-H,257751,7,36821.571,68.602,68.602,5430,242,3713,110,4826,96,11591.42,909.51,213.46,376.44,2969.65,57.82,79.98,52.56
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,N/A,All Events,N/A,N/A,454051,10,45405.1,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,BL1-H,YL1-H,268613,10,26861.3,59.159,59.159,4178,159,3024,108,5911,100,5506.27,834.22,131.78,526.23,3365.5,54.86,111.29,50.79
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,FSC-H,SSC-H,268613,10,26861.3,59.159,59.159,10302,801,5002,463,3259,373,20461.68,1530.3,198.61,191.06,4161.66,299.49,83.2,64.68
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,YL1-H,,268613,10,26861.3,59.159,59.159,159,N/A,108,N/A,100,N/A,834.22,N/A,526.23,N/A,54.86,N/A,50.79,N/A
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R7,BL1-H,,204927,10,20492.7,45.133,76.291,5227,N/A,4126,N/A,5911,N/A,4348.22,N/A,83.18,N/A,2916.27,N/A,70.68,N/A
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,BL1-H,,268613,10,26861.3,59.159,59.159,4178,N/A,3024,N/A,5911,N/A,5506.27,N/A,131.78,N/A,3365.5,N/A,111.29,N/A
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,BL1-H,SSC-H,268613,10,26861.3,59.159,59.159,4178,801,3024,463,5911,373,5506.27,1530.3,131.78,191.06,3365.5,299.49,111.29,64.68
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R2,BL1-H,YL1-H,450,10,45,0.099,0.168,2501,3652,2668,3193,3313,3539,1395.2,3151.76,55.79,86.3,1739.09,2087.5,65.2,65.39
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,syto+pe-,BL1-H,YL1-H,196856,10,19685.6,43.355,73.286,5367,137,4249,112,5911,100,5045.85,110.98,94.02,81.12,2895.52,56.34,68.15,50.3
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,syto+pe+,BL1-H,YL1-H,1045,10,104.5,0.23,0.389,25285,5873,17295,1971,13682,1214,23145.61,11557.49,91.54,196.79,13212.93,1042.27,76.4,52.88
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,BL1-H,YL1-H,268613,10,26861.3,59.159,59.159,4178,159,3024,108,5911,100,5506.27,834.22,131.78,526.23,3365.5,54.86,111.29,50.79
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R3,FSC-H,SSC-H,200492,10,20049.2,44.156,97.836,12355,898,6649,521,8292,373,21823.34,1575.25,176.64,175.38,5282.5,324.69,79.45,62.32
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R7,FSC-H,SSC-H,204927,10,20492.7,45.133,45.133,12114,889,6483,514,8292,373,21683.31,1599.84,179,180.04,5258.78,321.72,81.12,62.59
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R5,BL1-H,YL1-H,136,10,13.6,0.03,0.051,33343,8444,23544,4912,17018,2418,24554.57,8102.49,73.64,95.95,9966.04,3125.32,42.33,63.63
NA,Expt 2,Group,Sample 2.fcs,Sample 2,Experiment,None,,R1,BL1-H,YL1-H,268613,10,26861.3,59.159,59.159,4178,159,3024,108,5911,100,5506.27,834.22,131.78,526.23,3365.5,54.86,111.29,50.79
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,N/A,All Events,N/A,N/A,1469972,17,86468.941,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,BL1-H,YL1-H,1163527,17,68442.765,79.153,79.153,4633,155,3431,122,4101,101,4991.07,414.06,107.73,267.93,2833.25,65.23,82.58,53.47
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,FSC-H,SSC-H,1163527,17,68442.765,79.153,79.153,9977,733,4733,457,3487,374,18436.45,1299.76,184.8,177.23,3759.87,293.55,79.44,64.24
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,YL1-H,,1163527,17,68442.765,79.153,79.153,155,N/A,122,N/A,101,N/A,414.06,N/A,267.93,N/A,65.23,N/A,53.47,N/A
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R7,BL1-H,,997343,17,58667.235,67.848,85.717,5243,N/A,3938,N/A,4101,N/A,4405.57,N/A,84.03,N/A,2612.34,N/A,66.34,N/A
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,BL1-H,,1163527,17,68442.765,79.153,79.153,4633,N/A,3431,N/A,4101,N/A,4991.07,N/A,107.73,N/A,2833.25,N/A,82.58,N/A
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,BL1-H,SSC-H,1163527,17,68442.765,79.153,79.153,4633,733,3431,457,4101,374,4991.07,1299.76,107.73,177.23,2833.25,293.55,82.58,64.24
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R2,BL1-H,YL1-H,942,17,55.412,0.064,0.081,2492,2605,2704,1872,3784,1820,1513.41,5836.36,60.72,224.07,2000.77,771.69,74.01,41.22
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,syto+pe-,BL1-H,YL1-H,965236,17,56778.588,65.664,82.958,5349,153,4022,127,4101,101,4701.32,111.37,87.89,72.9,2587.14,68.2,64.32,53.7
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,17,176.471,0.204,0.258,31319,2176,29372,1555,41014,1213,24129.21,6692.15,77.04,307.48,22747.53,402.53,77.45,25.89
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,BL1-H,YL1-H,1163527,17,68442.765,79.153,79.153,4633,155,3431,122,4101,101,4991.07,414.06,107.73,267.93,2833.25,65.23,82.58,53.47
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R3,FSC-H,SSC-H,969301,17,57017.706,65.94,97.188,11206,793,5606,512,3487,470,19062.49,1275.56,170.11,160.83,4440.39,311.35,79.21,60.81
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R7,FSC-H,SSC-H,997343,17,58667.235,67.848,67.848,10917,783,5415,502,3487,374,18877.77,1294.38,172.92,165.27,4381.08,306.9,80.91,61.14
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R5,BL1-H,YL1-H,136,17,8,0.009,0.012,34667,4531,25928,3038,17286,2690,22902.32,5192.95,66.06,114.6,11568.73,933.3,44.62,30.73
NA,Expt 2,Group,Sample 3.fcs,Sample 3,Experiment,None,,R1,BL1-H,YL1-H,1163527,17,68442.765,79.153,79.153,4633,155,3431,122,4101,101,4991.07,414.06,107.73,267.93,2833.25,65.23,82.58,53.47
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,N/A,All Events,N/A,N/A,514140,10,51414,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,BL1-H,YL1-H,343254,10,34325.4,66.763,66.763,7472,175,4337,117,3938,97,11361.53,568.35,152.04,325.7,3608.65,63.75,83.21,54.49
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,FSC-H,SSC-H,343254,10,34325.4,66.763,66.763,10442,815,4394,476,3440,374,19717.67,1507.38,188.83,184.85,3540.45,324.69,80.57,68.21
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,YL2-H,BL2-H,343254,10,34325.4,66.763,66.763,320,371,226,207,232,157,460.59,600.42,143.87,162.02,142.33,149.74,62.98,72.34
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,YL1-H,,343254,10,34325.4,66.763,66.763,175,N/A,117,N/A,97,N/A,568.35,N/A,325.7,N/A,63.75,N/A,54.49,N/A
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R7,BL1-H,,307944,10,30794.4,59.895,89.713,7334,N/A,4706,N/A,3938,N/A,7002.31,N/A,95.48,N/A,3364.02,N/A,71.48,N/A
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,BL1-H,,343254,10,34325.4,66.763,66.763,7472,N/A,4337,N/A,3938,N/A,11361.53,N/A,152.04,N/A,3608.65,N/A,83.21,N/A
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,BL1-H,SSC-H,343254,10,34325.4,66.763,66.763,7472,815,4337,476,3938,374,11361.53,1507.38,152.04,184.85,3608.65,324.69,83.21,68.21
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R2,BL1-H,YL1-H,559,10,55.9,0.109,0.163,2993,2509,3226,1970,3587,1875,1166.69,4084.06,38.98,162.8,1021.51,720.54,31.66,36.58
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,syto+pe-,BL1-H,YL1-H,303503,10,30350.3,59.031,88.419,7815,150,4788,118,3938,97,8790.11,126.18,112.47,84.17,3417.39,63.75,71.37,54.03
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,10,300,0.583,0.874,51792,2628,40414,1810,75191,1247,43387.9,4964.24,83.77,188.92,41661.8,690.89,103.09,38.17
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,BL1-H,YL1-H,343254,10,34325.4,66.763,66.763,7472,175,4337,117,3938,97,11361.53,568.35,152.04,325.7,3608.65,63.75,83.21,54.49
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R3,FSC-H,SSC-H,295109,10,29510.9,57.399,95.832,10119,795,4936,517,3440,374,15341.24,1112.59,151.61,139.98,3831.04,333.58,77.61,64.52
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R7,FSC-H,SSC-H,307944,10,30794.4,59.895,59.895,9732,775,4688,501,3440,374,15135.11,1103.71,155.52,142.35,3765.8,324.69,80.33,64.81
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R5,BL1-H,YL1-H,443,10,44.3,0.086,0.129,48458,4535,33932,3433,17484,2926,34525.99,3586.14,71.25,79.08,21503.63,1071.92,63.37,31.22
NA,Expt 2,Group,Sample 4.fcs,Sample 4,Experiment,None,,R1,BL1-H,YL1-H,343254,10,34325.4,66.763,66.763,7472,175,4337,117,3938,97,11361.53,568.35,152.04,325.7,3608.65,63.75,83.21,54.49
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,N/A,All Events,N/A,N/A,752439,13,57879.923,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,BL1-H,YL1-H,533939,13,41072.231,70.961,70.961,4536,166,3113,122,3214,96,5747.76,338.31,126.73,203.23,2395.88,65.23,76.96,53.47
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,FSC-H,SSC-H,533939,13,41072.231,70.961,70.961,9561,970,4159,482,3303,373,19258.3,2250.17,201.43,231.97,3122.36,317.28,75.07,65.82
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,YL2-H,BL2-H,533939,13,41072.231,70.961,70.961,348,294,250,186,233,157,405.4,386.9,116.63,131.47,157.16,123.06,62.86,66.16
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,YL1-H,,533939,13,41072.231,70.961,70.961,166,N/A,122,N/A,96,N/A,338.31,N/A,203.23,N/A,65.23,N/A,53.47,N/A
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R7,BL1-H,,461666,13,35512.769,61.356,86.464,4990,N/A,3483,N/A,3214,N/A,4566.51,N/A,91.52,N/A,2188.32,N/A,62.83,N/A
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,BL1-H,,533939,13,41072.231,70.961,70.961,4536,N/A,3113,N/A,3214,N/A,5747.76,N/A,126.73,N/A,2395.88,N/A,76.96,N/A
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R1,BL1-H,SSC-H,533939,13,41072.231,70.961,70.961,4536,970,3113,482,3214,373,5747.76,2250.17,126.73,231.97,2395.88,317.28,76.96,65.82
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,R2,BL1-H,YL1-H,616,13,47.385,0.082,0.115,3307,2400,3697,2143,4268,1794,1295.43,1133.37,39.17,47.23,971.1,589.33,26.27,27.5
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,syto+pe-,BL1-H,YL1-H,444845,13,34218.846,59.12,83.314,5105,157,3544,125,3214,96,5089.29,122.27,99.69,78.11,2155.7,66.72,60.83,53.37
NA,Expt 2,Group,Sample 5.fcs,Sample 5,Experiment,None,,syto+pe+,BL1-H,YL1-H,3000,13,230.769,0.399,0.562,30539,2289,23288,1777,44306,1280,28964.48,3411.78,94.85,149.06,23350.21,656.79,100.27,36.96
